id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2014,valid_from,valid_to
2014_160,Fuels,Gaseous,Biomass Fuels,scf,scf,g CH4,Landfill Gas,0.001552,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_161,Fuels,Gaseous,Biomass Fuels,scf,scf,g N2O,Landfill Gas,0.000306,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_162,Fuels,Gaseous,Biomass Fuels,scf,scf,mmbtu,Other Biomass Gases,0.000655,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_163,Fuels,Gaseous,Biomass Fuels,mmbtu,mmbtu,kg CO2,Other Biomass Gases,52.07,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_164,Fuels,Gaseous,Biomass Fuels,mmbtu,mmbtu,g CH4,Other Biomass Gases,3.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_165,Fuels,Gaseous,Biomass Fuels,mmbtu,mmbtu,g N2O,Other Biomass Gases,0.63,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_166,Fuels,Gaseous,Biomass Fuels,scf,scf,kg CO2,Other Biomass Gases,0.034106,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_167,Fuels,Gaseous,Biomass Fuels,scf,scf,g CH4,Other Biomass Gases,0.002096,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_168,Fuels,Gaseous,Biomass Fuels,scf,scf,g N2O,Other Biomass Gases,0.000413,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_169,,,Petroleum Products,gallon,gallon,mmbtu,Asphalt and Road Oil,0.158,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_170,,,Petroleum Products,mmbtu,mmbtu,kg CO2,Asphalt and Road Oil,75.36,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_171,,,Petroleum Products,mmbtu,mmbtu,g CH4,Asphalt and Road Oil,3,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_172,,,Petroleum Products,mmbtu,mmbtu,g N2O,Asphalt and Road Oil,0.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_173,,,Petroleum Products,gallon,gallon,kg CO2,Asphalt and Road Oil,11.91,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_174,,,Petroleum Products,gallon,gallon,g CH4,Asphalt and Road Oil,0.47,2014-01-01 00:00:00,2014-12-31 23:59:59
